Letter Date,Issue Date,Company,URL,Issuing Office,Snippet
02/28/2023,01/23/2023,Zing Brothers LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zing-brothers-llc-642819-01232023,Division of Human and Animal Food Operations West IV,"… have not received a response to the FDA 483. Adulterated Dietary Supplements The inspection of your facility on August … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … control is necessary to ensure the quality of the dietary supplement and that the dietary supplement is packaged and …"
02/21/2023,01/26/2023,"Desert Defense, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/desert-defense-llc-650718-01262023,Center for Veterinary Medicine,"… Webpage titled – “Desert-Defense TM for dogs..”: “A dietary supplement to support the endocrine, immune, digestive and …"
02/14/2023,02/10/2023,"American Chinese Natural Herbs, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/american-chinese-natural-herbs-inc-631597-02102023,Office of Human and Animal Food Operations West Division 3,"… following each of the significant violations. Adulterated Dietary Supplements The inspection of your facility revealed … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … 111 (21 CFR Part 111). These violations cause your dietary supplement products to be adulterated within the meaning of …"
02/07/2023,12/13/2022,"Quality Supplement Manufacturing, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/quality-supplement-manufacturing-inc-637182-12132022,Division of Pharmaceutical Quality Operations III,"… Quality Supplement Manufacturing, Inc. … WARNING LETTER December 13, … following each of the significant violations. Adulterated Dietary Supplements The inspection of your facility revealed … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal …"
01/31/2023,01/30/2023,Organic Heirloom Plants,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/organic-heirloom-plants-643997-01302023,Center for Food Safety and Applied Nutrition (CFSAN),… for optimal healing. Those that include an anti-cancer dietary protocol with these supporting herbs have a higher … loomplants.com/shop/ols/products/ivermectwin-immune-support-dietary-herbal-supplement: • “Our herbal alternative to Ivermectin” • “The …
01/31/2023,01/24/2023,"Adept Life Science, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/adept-life-science-llc-635400-01242023,Division of Human and Animal Food Operations East IV,"… Packaging, Labeling, or Holding Operations for Dietary Supplements under Title 21, Code of Federal … Part 111 (21 CFR Part 111). These violations cause your dietary supplement products to be adulterated within the meaning of …"
01/24/2023,11/16/2022,"Evimeria El Aztecano, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/evimeria-el-aztecano-inc-624797-11162022,Division of Human and Animal Food Operations West V,… “Yerbas Finas Leche de Alpiste con Guanabana y Omega-3” dietary supplement. Based on our subsequent review of the product … on the FDA’s home page at http://www.fda.gov. Misbranded Dietary Supplements 1. Your “Yerbas Finas Leche de Alpiste …
01/24/2023,10/28/2022,Sabrina Cosmetics d/b/a SCOS,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sabrina-cosmetics-dba-scos-643208-10282022,Center for Tobacco Products,"… a drug, biologic, food, cosmetic, medical device, or dietary supplement. You marketed and co-packaged for sale PUFF Plus …"
01/17/2023,01/10/2023,"HIS Enterprise Inc dba Adam’s Secret USA, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/his-enterprise-inc-dba-adams-secret-usa-llc-646494-01102023,Center for Drug Evaluation and Research | CDER,"… Slim Sense” products demonstrate that they are marketed as dietary supplements. However, under section 201(ff)(3)(B)(i) … of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
01/10/2023,01/09/2023,"Distributor RFR, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/distributor-rfr-llc-643724-01092023,Center for Drug Evaluation and Research | CDER,"… and labeling of your product “SANGTER Natural Male Energy Supplement” (hereinafter “SANGTER Energy Supplement”) during … demonstrates that the sampled product is marketed as a dietary supplement. However, under section 201(ff)(3)(B)(i) … of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
12/27/2022,11/28/2022,"Bainbridge Beverage West, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bainbridge-beverage-west-llc-638942-11282022,Division of Human and Animal Food Operations West V,"… “Do not consume at the same time as any medicines or other dietary supplement, as this may interfere with their effectiveness.” … it can interfere with the consumer’s medications or dietary needs. Additionally, (b)(4) can contain carcinogenic …"
12/20/2022,11/08/2022,"Dollar Tree, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dollar-tree-inc-629509-11082022,Office of Human and Animal Food Operations – West Division 3,"… holds and distributes various human foods, including dietary supplements; animal foods; cosmetics; … corrective actions below.  Adulterated Human Foods and Dietary Supplements The inspection of your facility revealed … 117). These violations cause your human food and dietary supplement products to be adulterated within the meaning of …"
12/13/2022,12/05/2022,"Thriftmaster Texas, LLC. d/b/a ThriftMaster Global Holdings, Inc. and TM Global Biosciences, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/thriftmaster-texas-llc-dba-thriftmaster-global-holdings-inc-and-tm-global-biosciences-llc-641057,Center for Drug Evaluation and Research | CDER,"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. … Center for Drug Evaluation and Research | CDER …"
11/22/2022,09/23/2022,The Ben Heggy Candy Company,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ben-heggy-candy-company-633394-09232022,Division of Human and Animal Food Operations East V,"… more than $500,000, or with annual gross sales of foods or dietary supplements to consumers of not more than $50,000. …"
11/21/2022,11/16/2022,"CBD American Shaman, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cbd-american-shaman-llc-628753-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… or contains an unsafe food additive, as discussed above. Dietary Supplement Labeling Information on your website indicates … that you intend to market some of your CBD products as dietary supplements. For example, the images of the labels on …"
11/21/2022,11/16/2022,"Infusionz, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/infusionz-llc-629248-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 2 CBD is the active ingredient in the approved …"
11/21/2022,11/16/2022,Newhere Inc dba CBDFX,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/newhere-inc-dba-cbdfx-629243-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… of inactive ingredients under 21 CFR 330.1(e). 6, 7 Dietary Supplement Labeling Information on your website indicates … Focus Mushroom+CBD Drops and CBG Energy Blend products as dietary supplements; for example, the products’ pages bear …"
11/21/2022,11/16/2022,Naturally Infused LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/naturally-infused-llc-628036-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 2 CBD is the active ingredient in the approved …"
11/21/2022,11/16/2022,11-11-11 Brands,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/11-11-11-brands-627690-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 2 CBD is the active ingredient in the approved …"
11/17/2022,11/14/2022,"Calroy Health Sciences, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/calroy-health-sciences-llc-636311-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,BergaMet North America LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bergamet-north-america-llc-636315-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and recommended in recent clinical studies as a bergamot supplement for high cholesterol . . . and help improve blood … for sharing.”   o “I have had amazing results with this supplement it brought down all my levels out of the red and … and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,"Healthy Trends Worldwide, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/healthy-trends-worldwide-llc-636401-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,Anabolic Laboratories Inc,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/anabolic-laboratories-inc-636308-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,iwi,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/iwi-636312-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… page at https://iwilife.com/products/natural-cholesterol-supplement: “Clinically shown to decrease cholesterol” … for reduced cardiovascular risk.”  “This plant-based supplement significantly decreases total cholesterol and bad … and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements …
11/17/2022,11/14/2022,Essential Elements,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/essential-elements-636305-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… Amazon website page www.amazon.com/cholesterol-support-supplement-niacinamide-CholestAid/dp/B07ZTRRXK4:  “ Helps … and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,Chambers' Apothecary,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/chambers-apothecary-636306-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/08/2022,07/12/2022,NatureLab Corp.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/naturelab-corp-625768-07122022,Division of Pharmaceutical Quality Operations II,… States Food and Drug Administration (FDA) inspected your dietary supplement manufacturing facility located at 1606 Vantage … in relation to each of the noted violations. Adulterated Dietary Supplements The inspection revealed serious …
11/01/2022,10/28/2022,Walmart Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/walmart-inc-631755-10282022,Center for Drug Evaluation and Research | CDER,"… of the FD&C Act, 21 U.S.C. § 321(ff)(3)(B)(i), a dietary supplement may not include an article that is approved as a … 505 of the FD&C Act, unless that article was marketed as a dietary supplement or food before its approval as a drug. FDA …"
11/01/2022,10/28/2022,"Amazon.com, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/amazoncom-inc-631751-10282022,Center for Drug Evaluation and Research | CDER,"… 3” demonstrates that the sampled products are marketed as dietary supplements. 3 However, under section … of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
09/27/2022,09/23/2022,"Muscle Sports Products, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/muscle-sports-products-llc-625731-09232022,Office of Human and Animal Food Operations East – Division 1,"… coffee bean extract may also be a potent . . .anti-obesity supplement.” On the product webpage for Rhino Rampage PUMPED … FDA recently sent warning letters to several firms selling dietary supplements containing hordenine, hordenine HCl, or … to Multiple Companies for Illegally Selling Adulterated Dietary Supplements” and May 4, 2022 warning letters to, …"
08/30/2022,08/05/2022,"Nutritional Laboratories International, Inc. DBA Elite One Source Nutritional Services, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nutritional-laboratories-international-inc-dba-elite-one-source-nutritional-services-inc-620224,Office of Human and Animal Food Operations – West Division 6,"… below as it relates to the noted observations. Adulterated Dietary Supplements The inspection revealed serious … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … 111 (21 CFR Part 111). These violations cause your dietary supplement products to be adulterated within the meaning of …"
08/16/2022,08/08/2022,"Oregon’s Wild Harvest, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/oregons-wild-harvest-inc-621842-08082022,Division of Human and Animal Food Operations West VI,"… Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … Part 111 (21 CFR Part 111). These violations cause your dietary supplement products, including Stress Guard, Aller-Aid, Eyes …"
08/16/2022,07/29/2022,"Deggeh Foods, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/deggeh-foods-inc-628460-07292022,Office of Human and Animal Food Operations East – Division 1,"… section 301(a) of the Act [21 U.S.C. 331(a)]. Adulterated Dietary Supplements The facility inspection revealed serious … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … from a supplier for packaging or labeling as a dietary supplement (and for distribution rather than for return to …"
08/09/2022,07/22/2022,"Muscle Feast, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/muscle-feast-llc-627030-07222022,Office of Human and Animal Foods – East 5,"… Packaging, Labeling, or Holding Operations for Dietary Supplements under Title 21, Code of Federal … Part 111 (21 CFR Part 111). These violations cause your dietary supplement products to be adulterated within the meaning of …"
07/26/2022,07/08/2022,Custom Research Labs Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/custom-research-labs-inc-616184-07082022,Division of Pharmaceutical Quality Operations IV,… CBD also cannot legally be sold in a conventional food or dietary supplement product. Please see the following for more …
07/19/2022,06/08/2022,New Sun Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/new-sun-inc-626254-06082022,Office of Human and Animal Foods- East Division 3,"… Drug Administration (FDA) conducted an inspection of your dietary supplement and cosmetics manufacturing and distributing … CBD Oil (Hemp Oil) states that “Hemp Seed Oil (CBD) is a dietary supplement, and is safe to be consumed on a daily …"
07/19/2022,07/05/2022,Living Foods LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/living-foods-llc-622648-07052022,Office of Human and Animal Food- West Division II,… Bion+Plus Silver Ozone and ZeoHeal the Miracle Mineral Supplement. The claims on your website establish that these … not an anti-microbial product. It simply supplies unique dietary supplementation to the body in such a manner that the … ZeoHeal The Miracle Mineral Supplement “Zeolite cage can easily trap varieties of …
07/12/2022,07/01/2022,Thirsty Run LLC / US Royal Honey LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/thirsty-run-llc-us-royal-honey-llc-623359-07012022,Center for Food Safety and Applied Nutrition (CFSAN),"… demonstrating that the drug is safe and effective. Dietary Supplement Labeling You market Secret Miracle Royal Honey for Her as a dietary supplement. For example, the webpages for this …"
07/12/2022,07/01/2022,1am USA Incorporated dba Pleasure Products USA,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/1am-usa-incorporated-dba-pleasure-products-usa-627006-07012022,Center for Food Safety and Applied Nutrition (CFSAN),"… is a prohibited act under section 301(ll) of the FD&C Act. Dietary Supplement Labeling You market X RATED HONEY FOR MEN as a dietary supplement. For example, the product webpage …"
06/28/2022,05/26/2022,Golden Lab LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/golden-lab-llc-625783-05262022,Office of Human and Animal Food Operations East Division IV,"… violates section 301(a) of the Act [21 U.S.C. 331(a)]. Dietary Supplement cGMP Violations During the inspection, our … current Good Manufacturing Practice (cGMP) regulations for dietary supplements, Title 21 Code of Federal Regulations, …"
05/26/2022,05/26/2022,"Hope Botanicals, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hope-botanicals-llc-623509-05262022,Center for Veterinary Medicine,"… under section 301(a) of the FD&C Act, 21 U.S.C. 331(a). Dietary Supplement Labeling Information on your website at … to as “25mg Broad Spectrum CBD Gel Caps”), for humans 3 as dietary supplements. However, these products cannot be …"
05/26/2022,05/26/2022,"Plantacea, LLC dba Kahm",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/plantacea-llc-dba-kahm-623508-05262022,Center for Veterinary Medicine,"… under section 301(a) of the FD&C Act, 21 U.S.C. 331(a). Dietary Supplement Labeling Information on your website at … BROAD SPECTRUM HEMP EXTRACT products (all varieties) as dietary supplements. 3 However, these products cannot be …"
05/26/2022,05/26/2022,"Haniel Concepts, Inc. DBA Free State Oils, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/haniel-concepts-inc-dba-free-state-oils-llc-623510-05262022,Center for Veterinary Medicine,"…  under section 301(a) of the FD&C Act, 21 U.S.C. 331(a). Dietary Supplement Labeling Information on your website at … market some of your CBD-containing products for humans as dietary supplements, including your “Allay CBD Soft Gels,” …"
05/10/2022,04/21/2022,"MCACO, LTD",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mcaco-ltd-624606-04212022,Division of Human and Animal Food Operations West III,"… on the FDA’s home page at http://www.fda.gov. Adulterated Dietary Supplements The inspection of your facility revealed … Packaging, Labeling, or Holding Operations for Dietary Supplements under Title 21, Code of Federal … Part 111 (21 CFR 111). These violations cause your dietary supplement products to be adulterated within the meaning of …"
05/09/2022,05/04/2022,Performax Labs Inc,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/performax-labs-inc-622337-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… products Brute BCAA and Predator Pro, which are labeled as dietary supplements. As explained further below, introducing … Act (FD&C Act) because the products are adulterated dietary supplements. You can find the FD&C Act through links … https://www.ecfr.gov/current/title-21. Adulterated Dietary Supplement: Unsafe Food Additive The labels of your products …"
05/09/2022,05/04/2022,Steel Supplements Inc,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/steel-supplements-inc-622405-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… Focused-AF, and Amped-AF, which are labeled as dietary supplements. As explained further below, introducing … Act (the FD&C Act) because the products are adulterated dietary supplements. You can find the FD&C Act through links … https://www.ecfr.gov/current/title-21. Adulterated Dietary Supplement: Unsafe Food Additive The label of your product …"
05/09/2022,05/04/2022,Ironmag Labs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ironmag-labs-622504-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… Stack, Lean Fuel V2 and Stimulate, which are labeled as dietary supplements. As explained further below, introducing … Act (the FD&C Act) because the products are adulterated dietary supplements. Based on our review of your website … 413(a) of the FD&C Act [21 U.S.C. § 350b(a)], a dietary supplement that contains a new dietary ingredient shall be …"
05/09/2022,05/04/2022,Advanced Nutritional Supplements LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/advanced-nutritional-supplements-llc-622055-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… Natural Testosterone Support which are labeled as dietary supplements. As explained further below, introducing … Act (the FD&C Act) because the products are adulterated dietary supplements. You can find the FD&C Act through links … an amino acid; a dietary substance for use by man to supplement the diet by increasing the total dietary intake; …"
05/09/2022,05/04/2022,Max Muscle,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/max-muscle-622401-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… products Lipo Red and StimoVEX XT, which are labeled as dietary supplements. As explained further below, introducing … Act (the FD&C Act) because the products are adulterated dietary supplements. You can find the Act and FDA regulations … https://www.ecfr.gov/current/title-21. Adulterated Dietary Supplement: Unsafe Food Additive The label of your product …"
05/09/2022,05/04/2022,Assault Labs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/assault-labs-622050-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… Wild Thing Tropical Tornado flavor, which is labeled as a dietary supplement. As explained further below, introducing or … Act (the FD&C Act) because the product is an adulterated dietary supplement. You can find the FD&C Act through links …"
05/09/2022,05/04/2022,"Nutritional Sales and Customer Service, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nutritional-sales-and-customer-service-llc-622403-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… concerns your product Synedrex, which is labeled as a dietary supplement. As explained further below, introducing or … Act (FD&C Act) because the product is an adulterated dietary supplement. You can find the FD&C Act through links …"
05/09/2022,05/04/2022,Complete Nutrition,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/complete-nutrition-622373-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… letter concerns your product “DR1” which is labeled as a dietary supplement. As explained further below, introducing, or … Act (the FD&C Act) because the product is an adulterated dietary supplement. You can find the FD&C Act through links …"
05/09/2022,05/04/2022,New York Nutrition Company,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/new-york-nutrition-company-621839-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… Lean Muscle For Her and Lean Muscle, which are labeled as dietary supplements. As explained further below, introducing … Act (the FD&C Act) because the products are adulterated dietary supplements. You can find the FD&C Act through links … https://www.ecfr.gov/current/title-21. Adulterated Dietary Supplement: Unsafe Food Additive The labels of your products …"
05/09/2022,05/04/2022,"Exclusive Nutrition Products, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/exclusive-nutrition-products-llc-622053-05042022,Center for Food Safety and Applied Nutrition (CFSAN),"… products Thermo Burn and 5-Alpha, which are labeled as dietary supplements. As explained further below, introducing … Act (the FD&C Act) because the products are adulterated dietary supplements. You can find the FD&C Act through links … https://www.ecfr.gov/current/title-21. Adulterated Dietary Supplement: Unsafe Food Additive The label of your product …"
05/04/2022,05/04/2022,Delta 8 Hemp,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/delta-8-hemp-618368-05042022,Center for Drug Evaluation and Research | CDER,"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. … Center for Drug Evaluation and Research | CDER …"
05/04/2022,05/04/2022,"ATLRx, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/atlrx-inc-618341-05042022,Center for Drug Evaluation and Research | CDER,"… our additional line of pet products! CBD is a great supplement for all pets for . . . more serious issues such as … or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. [6] Under section 201(s)(5) of the FD&C …"
05/04/2022,05/04/2022,"M Six Labs, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/m-six-labs-inc-618701-05042022,Center for Drug Evaluation and Research | CDER,… Delta-8 THC may pose a serious health risk to consumers.  Dietary Supplement Labeling Information on your website at … CBD MCT Oil Tincture” and “Silver Lake CBD Vegan Chew” as dietary supplements. The product webpages display an image …
05/04/2022,05/04/2022,BioMD Plus LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/biomd-plus-llc-618460-05042022,Center for Drug Evaluation and Research | CDER,"… Delta-8 THC may pose a serious health risk to consumers.  Dietary Supplement Labeling Information on your website at … CBD-containing “CBD Capsules” and “Vegan CBD Gummies” as dietary supplements. For example, the product webpages …"
05/04/2022,05/04/2022,Kingdom Harvest,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kingdom-harvest-625058-05042022,Center for Drug Evaluation and Research | CDER,"… prevent, treat, diagnose, or cure COVID-19 in people. [2] Dietary Supplement Labeling Information on your website at … varieties of “Blood Sugar Support” and “CBD Gummies” as dietary supplements. For example, the product website …"
05/03/2022,02/24/2022,"MYA International, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mya-international-inc-619877-02242022,Office of Human and Animal Food Operations –West Division 5,"… flu, and respiratory system conditions. This supplement with natural antibiotic qualities of wide spectrum … violates section 301(a) of the Act [21 U.S.C. 331(a)]. Dietary Supplement cGMP Violations: The inspection revealed … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal …"
05/03/2022,02/11/2022,Rena's Organic,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/renas-organic-613036-02112022,Office of Human and Animal Food Operations East Division IV,"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. … Office of Human and Animal Food Operations East …"
05/03/2022,04/20/2022,"C R Supplements, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/c-r-supplements-llc-624651-04202022,Office of Human and Animal Food Operations – West Division 6,"… 301(a) of the Act [21 U.S.C. § 331(a)]. Adulterated Dietary Supplements The inspection of your facility from … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … control is necessary to ensure the quality of the dietary supplement and that the dietary supplement is packaged and …"
04/05/2022,03/28/2022,NDAL Mfg Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ndal-mfg-inc-621656-03282022,Division of Pharmaceutical Quality Operations IV,"… and 505(a) of the FD&C Act, 21 U.S.C. 331(d) and 355(a). Dietary Supplement Labeling Your ManukaGuard Throat Soother Manuka … Gut Health Manuka Honey (8.8 oz) products are labeled as dietary supplements. However, statements such as “[t]hroat …"
03/15/2022,02/23/2022,"Princess Lifestyles, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/princess-lifestyles-llc-614384-02232022,Office of Human and Animal Food Operations –West Division 5,"… violates section 301(a) of the Act [21 U.S.C. § 331(a)]. Dietary Supplement CGMP Violations Your dietary supplement products that you manufacture, package, …"
03/08/2022,02/09/2022,"Bea Lydecker’s Naturals, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bea-lydeckers-naturals-inc-616439-02092022,Division of Human and Animal Food Operations West VI,"… The U.S. Food and Drug Administration (FDA) inspected your dietary supplement distributing facility, located at 15443 South … we collected labels and labeling related to your dietary supplements, including your Bea Lydecker’s Naturals, …"
02/15/2022,01/19/2022,Glenn Burkett Naples Corporation,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/glenn-burkett-naples-corporation-613126-01192022,Office of Human and Animal Food Operations East Division IV,"… Silver 750 Sinus Spray and Silver Eye Drops products as dietary supplements. For example, you display pictures of the labels of these products on your website that include “dietary supplement” on the label. However, these products do not meet …"
12/28/2021,12/07/2021,"Western Herb Products, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/western-herb-products-inc-615439-12072021,Office of Human and Animal Food Operations – West Division 6,"… States Food and Drug Administration (FDA) inspected your dietary supplement manufacturing facility located at 21624 Sertz … Packaging, Labeling, or Holding Operations for Dietary Supplements. These violations cause the dietary …"
12/14/2021,11/29/2021,Sanitor Corporation,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sanitor-corporation-616232-11292021,Division of Pharmaceutical Quality Operations IV,"… with pharmaceuticals, medical devices, cosmetics, and dietary supplements. However, based upon the nature of the …"
12/07/2021,12/01/2021,"VitaStik, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/vitastik-inc-617713-12012021,Center for Drug Evaluation and Research | CDER,"… for your “VitaStik Sleepy Time Diffuser” contains a Supplement Facts panel. Although you market your products as … 1 minute between uses.” The FD&C Act defines the term “dietary supplement” in section 201(ff)(2)(A)(i), 21 U.S.C. … your VitaStik products do not meet the definition of a dietary supplement under the FD&C Act. Based on our review of …"
