Letter Date,Issue Date,Company,URL,Issuing Office,Snippet
02/28/2023,01/23/2023,Zing Brothers LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zing-brothers-llc-642819-01232023,Division of Human and Animal Food Operations West IV,"… have not received a response to the FDA 483. Adulterated Dietary Supplements The inspection of your facility on August … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … control is necessary to ensure the quality of the dietary supplement and that the dietary supplement is packaged and …"
02/21/2023,01/26/2023,"Desert Defense, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/desert-defense-llc-650718-01262023,Center for Veterinary Medicine,"… Webpage titled – “Desert-Defense TM for dogs..”: “A dietary supplement to support the endocrine, immune, digestive and …"
02/14/2023,02/10/2023,"American Chinese Natural Herbs, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/american-chinese-natural-herbs-inc-631597-02102023,Office of Human and Animal Food Operations West Division 3,"… following each of the significant violations. Adulterated Dietary Supplements The inspection of your facility revealed … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … 111 (21 CFR Part 111). These violations cause your dietary supplement products to be adulterated within the meaning of …"
02/07/2023,12/13/2022,"Quality Supplement Manufacturing, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/quality-supplement-manufacturing-inc-637182-12132022,Division of Pharmaceutical Quality Operations III,"… Quality Supplement Manufacturing, Inc. … WARNING LETTER December 13, … following each of the significant violations. Adulterated Dietary Supplements The inspection of your facility revealed … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal …"
01/31/2023,01/30/2023,Organic Heirloom Plants,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/organic-heirloom-plants-643997-01302023,Center for Food Safety and Applied Nutrition (CFSAN),… for optimal healing. Those that include an anti-cancer dietary protocol with these supporting herbs have a higher … loomplants.com/shop/ols/products/ivermectwin-immune-support-dietary-herbal-supplement: • “Our herbal alternative to Ivermectin” • “The …
01/31/2023,01/24/2023,"Adept Life Science, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/adept-life-science-llc-635400-01242023,Division of Human and Animal Food Operations East IV,"… Packaging, Labeling, or Holding Operations for Dietary Supplements under Title 21, Code of Federal … Part 111 (21 CFR Part 111). These violations cause your dietary supplement products to be adulterated within the meaning of …"
01/24/2023,11/16/2022,"Evimeria El Aztecano, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/evimeria-el-aztecano-inc-624797-11162022,Division of Human and Animal Food Operations West V,… “Yerbas Finas Leche de Alpiste con Guanabana y Omega-3” dietary supplement. Based on our subsequent review of the product … on the FDA’s home page at http://www.fda.gov. Misbranded Dietary Supplements 1. Your “Yerbas Finas Leche de Alpiste …
01/24/2023,10/28/2022,Sabrina Cosmetics d/b/a SCOS,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sabrina-cosmetics-dba-scos-643208-10282022,Center for Tobacco Products,"… a drug, biologic, food, cosmetic, medical device, or dietary supplement. You marketed and co-packaged for sale PUFF Plus …"
01/17/2023,01/10/2023,"HIS Enterprise Inc dba Adam’s Secret USA, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/his-enterprise-inc-dba-adams-secret-usa-llc-646494-01102023,Center for Drug Evaluation and Research | CDER,"… Slim Sense” products demonstrate that they are marketed as dietary supplements. However, under section 201(ff)(3)(B)(i) … of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
01/10/2023,01/09/2023,"Distributor RFR, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/distributor-rfr-llc-643724-01092023,Center for Drug Evaluation and Research | CDER,"… and labeling of your product “SANGTER Natural Male Energy Supplement” (hereinafter “SANGTER Energy Supplement”) during … demonstrates that the sampled product is marketed as a dietary supplement. However, under section 201(ff)(3)(B)(i) … of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
12/27/2022,11/28/2022,"Bainbridge Beverage West, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bainbridge-beverage-west-llc-638942-11282022,Division of Human and Animal Food Operations West V,"… “Do not consume at the same time as any medicines or other dietary supplement, as this may interfere with their effectiveness.” … it can interfere with the consumer’s medications or dietary needs. Additionally, (b)(4) can contain carcinogenic …"
12/20/2022,11/08/2022,"Dollar Tree, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dollar-tree-inc-629509-11082022,Office of Human and Animal Food Operations – West Division 3,"… holds and distributes various human foods, including dietary supplements; animal foods; cosmetics; … corrective actions below.  Adulterated Human Foods and Dietary Supplements The inspection of your facility revealed … 117). These violations cause your human food and dietary supplement products to be adulterated within the meaning of …"
12/13/2022,12/05/2022,"Thriftmaster Texas, LLC. d/b/a ThriftMaster Global Holdings, Inc. and TM Global Biosciences, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/thriftmaster-texas-llc-dba-thriftmaster-global-holdings-inc-and-tm-global-biosciences-llc-641057,Center for Drug Evaluation and Research | CDER,"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. … Center for Drug Evaluation and Research | CDER …"
11/22/2022,09/23/2022,The Ben Heggy Candy Company,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ben-heggy-candy-company-633394-09232022,Division of Human and Animal Food Operations East V,"… more than $500,000, or with annual gross sales of foods or dietary supplements to consumers of not more than $50,000. …"
11/21/2022,11/16/2022,"CBD American Shaman, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cbd-american-shaman-llc-628753-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… or contains an unsafe food additive, as discussed above. Dietary Supplement Labeling Information on your website indicates … that you intend to market some of your CBD products as dietary supplements. For example, the images of the labels on …"
11/21/2022,11/16/2022,"Infusionz, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/infusionz-llc-629248-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 2 CBD is the active ingredient in the approved …"
11/21/2022,11/16/2022,Newhere Inc dba CBDFX,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/newhere-inc-dba-cbdfx-629243-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… of inactive ingredients under 21 CFR 330.1(e). 6, 7 Dietary Supplement Labeling Information on your website indicates … Focus Mushroom+CBD Drops and CBG Energy Blend products as dietary supplements; for example, the products’ pages bear …"
11/21/2022,11/16/2022,Naturally Infused LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/naturally-infused-llc-628036-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 2 CBD is the active ingredient in the approved …"
11/21/2022,11/16/2022,11-11-11 Brands,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/11-11-11-brands-627690-11162022,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 2 CBD is the active ingredient in the approved …"
11/17/2022,11/14/2022,"Calroy Health Sciences, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/calroy-health-sciences-llc-636311-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,BergaMet North America LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bergamet-north-america-llc-636315-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and recommended in recent clinical studies as a bergamot supplement for high cholesterol . . . and help improve blood … for sharing.”   o “I have had amazing results with this supplement it brought down all my levels out of the red and … and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,"Healthy Trends Worldwide, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/healthy-trends-worldwide-llc-636401-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,Anabolic Laboratories Inc,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/anabolic-laboratories-inc-636308-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,iwi,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/iwi-636312-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… page at https://iwilife.com/products/natural-cholesterol-supplement: “Clinically shown to decrease cholesterol” … for reduced cardiovascular risk.”  “This plant-based supplement significantly decreases total cholesterol and bad … and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements …
11/17/2022,11/14/2022,Essential Elements,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/essential-elements-636305-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… Amazon website page www.amazon.com/cholesterol-support-supplement-niacinamide-CholestAid/dp/B07ZTRRXK4:  “ Helps … and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/17/2022,11/14/2022,Chambers' Apothecary,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/chambers-apothecary-636306-11142022,Center for Food Safety and Applied Nutrition (CFSAN),… and Applied Nutrition (CFSAN) … New Drug/Misbranded … Dietary Supplements … Drugs …
11/08/2022,07/12/2022,NatureLab Corp.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/naturelab-corp-625768-07122022,Division of Pharmaceutical Quality Operations II,… States Food and Drug Administration (FDA) inspected your dietary supplement manufacturing facility located at 1606 Vantage … in relation to each of the noted violations. Adulterated Dietary Supplements The inspection revealed serious …
11/01/2022,10/28/2022,Walmart Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/walmart-inc-631755-10282022,Center for Drug Evaluation and Research | CDER,"… of the FD&C Act, 21 U.S.C. § 321(ff)(3)(B)(i), a dietary supplement may not include an article that is approved as a … 505 of the FD&C Act, unless that article was marketed as a dietary supplement or food before its approval as a drug. FDA …"
11/01/2022,10/28/2022,"Amazon.com, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/amazoncom-inc-631751-10282022,Center for Drug Evaluation and Research | CDER,"… 3” demonstrates that the sampled products are marketed as dietary supplements. 3 However, under section … of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
09/27/2022,09/23/2022,"Muscle Sports Products, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/muscle-sports-products-llc-625731-09232022,Office of Human and Animal Food Operations East – Division 1,"… coffee bean extract may also be a potent . . .anti-obesity supplement.” On the product webpage for Rhino Rampage PUMPED … FDA recently sent warning letters to several firms selling dietary supplements containing hordenine, hordenine HCl, or … to Multiple Companies for Illegally Selling Adulterated Dietary Supplements” and May 4, 2022 warning letters to, …"
08/30/2022,08/05/2022,"Nutritional Laboratories International, Inc. DBA Elite One Source Nutritional Services, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nutritional-laboratories-international-inc-dba-elite-one-source-nutritional-services-inc-620224,Office of Human and Animal Food Operations – West Division 6,"… below as it relates to the noted observations. Adulterated Dietary Supplements The inspection revealed serious … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … 111 (21 CFR Part 111). These violations cause your dietary supplement products to be adulterated within the meaning of …"
08/16/2022,08/08/2022,"Oregon’s Wild Harvest, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/oregons-wild-harvest-inc-621842-08082022,Division of Human and Animal Food Operations West VI,"… Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … Part 111 (21 CFR Part 111). These violations cause your dietary supplement products, including Stress Guard, Aller-Aid, Eyes …"
